Stato,Popolazione (1-4-2020),Abbreviazione,Capitale
Alabama,5 024 279,AL,Montgomery
Alaska,733 391,AK,Juneau
Arizona,7 151 502,AZ,Phoenix
Arkansas,3 011 524,AR,
California,39 538 223,CA,Sacramento
Carolina del Nord,10 439 388,,
Carolina del Sud,5 118 425,,
Colorado,5 773 714,CO,
Connecticut,3 605 944,CT,Hartford
Dakota del Nord,779 094,,
Dakota del Sud,886 667,,
Delaware,989 948,DE,Dover
Distretto di Columbia,689 545,,
Florida,21 538 187,FL,Tallahassee
Georgia,10 711 908,GA,Atlanta
Guam,168 485,GU,
Hawaii,1 455 271,HI,
Idaho,1 839 106,ID,Boise
Illinois,12 812 508,IL,Springfield
Indiana,6 785 528,IN,
Iowa,3 190 369,IA,Des Moines
Isole Marianne Settentrionali,49 437,,
Isole Vergini Americane,106 235,,
Kansas,2 937 880,KS,Topeka
Kentucky,4 505 836,KY,Frankfort
Louisiana,4 657 757,LA,Baton Rouge
Maine,1 362 359,ME,Augusta
Maryland,6 177 224,MD,Annapolis
Massachusetts,7 029 917,MA,Boston
Michigan,10 077 331,MI,Lansing
Minnesota,5 706 494,MN,Saint Paul
Mississippi,2 961 279,MS,Jackson
Missouri,6 154 913,MO,Jefferson City
Montana,1 084 225,MT,Helena
Nebraska,1 961 504,NE,
Nevada,3 104 614,NV,Carson City
New Hampshire,1 377 529,NH,Concord
New Jersey,9 288 994,NJ,
New York,20 201 249,NY,Albany
Nuovo Messico,2 117 522,,
Ohio,11 799 448,OH,Columbus
Oklahoma,3 959 353,OK,Oklahoma City
Oregon,4 237 256,OR,Salem
Pennsylvania,13 002 700,PA,Harrisburg
Porto Rico,3 285 874,,
Rhode Island,1 097 379,RI,Providence
Samoa Americane,51 433,,
Tennessee,6 910 840,TN,Nashville
Texas,29 145 505,TX,Austin
Utah,3 271 616,UT,Salt Lake City
Vermont,643 077,VT,Montpelier
Virginia,8 631 393,VA,
Virginia Occidentale,1 793 716,,
Washington,7 705 281,WA,Olympia
Wisconsin,5 893 718,WI,Madison
Wyoming,576 851,WY,Cheyenne
